rides_previous_24_hour,rides_previous_23_hour,rides_previous_22_hour,rides_previous_21_hour,rides_previous_20_hour,rides_previous_19_hour,rides_previous_18_hour,rides_previous_17_hour,rides_previous_16_hour,rides_previous_15_hour,rides_previous_14_hour,rides_previous_13_hour,rides_previous_12_hour,rides_previous_11_hour,rides_previous_10_hour,rides_previous_9_hour,rides_previous_8_hour,rides_previous_7_hour,rides_previous_6_hour,rides_previous_5_hour,rides_previous_4_hour,rides_previous_3_hour,rides_previous_2_hour,rides_previous_1_hour,pickup_location_id,prediction
0.0,1.0,2.0,1.0,3.0,1.0,2.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1,0.7069781457319357
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.34474786540973645
0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,3,0.41779396674526237
4.0,13.0,8.0,7.0,14.0,6.0,13.0,10.0,3.0,6.0,6.0,3.0,4.0,3.0,0.0,0.0,1.0,3.0,8.0,13.0,22.0,16.0,8.0,5.0,4,5.7112760161685925
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.34474786540973645
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,6,0.40636138589124565
5.0,4.0,7.0,4.0,3.0,7.0,17.0,9.0,10.0,10.0,7.0,6.0,7.0,0.0,0.0,1.0,2.0,4.0,8.0,19.0,18.0,6.0,6.0,5.0,7,4.114429788590584
0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.34474786540973645
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,9,0.5437256503244247
1.0,4.0,6.0,2.0,3.0,0.0,3.0,2.0,3.0,2.0,0.0,4.0,1.0,1.0,0.0,1.0,2.0,2.0,2.0,8.0,4.0,3.0,2.0,1.0,10,1.638747391407686
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,11,0.34474786540973645
5.0,4.0,5.0,3.0,4.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,12,2.183097397604772
37.0,35.0,30.0,25.0,23.0,24.0,21.0,12.0,6.0,6.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,10.0,32.0,35.0,22.0,19.0,17.0,13,27.422580534868743
1.0,1.0,2.0,0.0,2.0,0.0,6.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,3.0,8.0,6.0,2.0,3.0,1.0,14,0.9193269405029667
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,15,0.41779396674526237
0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,16,0.34474786540973645
3.0,5.0,6.0,4.0,4.0,4.0,4.0,3.0,0.0,2.0,5.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,6.0,10.0,8.0,6.0,5.0,17,3.594741120766474
0.0,1.0,2.0,2.0,3.0,0.0,2.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,3.0,0.0,2.0,0.0,18,0.7768007058080356
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,19,0.6654361168550618
1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,20,0.4778909127943904
0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,21,0.40636138589124565
2.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,3.0,2.0,3.0,1.0,2.0,22,1.0290645832648984
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,0.34474786540973645
24.0,25.0,20.0,19.0,17.0,16.0,12.0,18.0,11.0,9.0,4.0,4.0,1.0,1.0,3.0,0.0,2.0,6.0,9.0,21.0,22.0,18.0,15.0,14.0,24,18.839492518176662
6.0,8.0,6.0,5.0,8.0,5.0,6.0,6.0,6.0,5.0,6.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,4.0,9.0,4.0,6.0,3.0,0.0,25,2.6170788899854553
1.0,0.0,2.0,1.0,1.0,0.0,4.0,1.0,2.0,3.0,3.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,5.0,4.0,1.0,6.0,26,2.630634316234515
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,0.34474786540973645
1.0,4.0,3.0,1.0,0.0,3.0,2.0,4.0,1.0,3.0,3.0,2.0,5.0,1.0,1.0,2.0,1.0,1.0,6.0,4.0,2.0,0.0,1.0,3.0,28,2.236630008052684
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,29,0.6085627120653598
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0.34474786540973645
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,0.34474786540973645
0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,32,0.4097392123342796
5.0,8.0,10.0,2.0,7.0,7.0,10.0,7.0,2.0,4.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,8.0,9.0,11.0,7.0,2.0,33,3.2875680601948707
1.0,0.0,1.0,1.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,34,0.46983615838340764
4.0,6.0,3.0,7.0,1.0,4.0,4.0,1.0,1.0,2.0,4.0,7.0,1.0,0.0,0.0,1.0,4.0,1.0,4.0,7.0,5.0,2.0,2.0,5.0,35,3.9397748877603096
1.0,3.0,1.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,5.0,9.0,4.0,1.0,1.0,3.0,0.0,1.0,2.0,5.0,3.0,3.0,0.0,0.0,36,0.71002445592691
5.0,3.0,4.0,3.0,4.0,2.0,6.0,6.0,0.0,3.0,5.0,4.0,1.0,0.0,1.0,1.0,1.0,3.0,1.0,10.0,6.0,1.0,3.0,1.0,37,1.9975406243829423
0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,2.0,1.0,0.0,38,0.4794074872267716
3.0,7.0,7.0,5.0,4.0,7.0,6.0,5.0,1.0,1.0,3.0,8.0,1.0,0.0,1.0,0.0,2.0,2.0,9.0,8.0,11.0,2.0,7.0,6.0,39,4.031946154406585
2.0,2.0,1.0,2.0,2.0,1.0,1.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,8.0,4.0,1.0,1.0,40,1.0160928678603787
31.0,45.0,49.0,44.0,27.0,24.0,36.0,21.0,16.0,7.0,8.0,11.0,1.0,3.0,1.0,1.0,4.0,3.0,14.0,32.0,52.0,18.0,16.0,14.0,41,24.301309096357333
31.0,20.0,27.0,15.0,15.0,23.0,21.0,22.0,9.0,8.0,4.0,5.0,2.0,0.0,0.0,1.0,1.0,7.0,14.0,24.0,40.0,14.0,6.0,7.0,42,14.98233494029078
109.0,142.0,123.0,171.0,166.0,111.0,53.0,34.0,26.0,28.0,12.0,9.0,2.0,2.0,0.0,0.0,1.0,4.0,16.0,48.0,60.0,45.0,81.0,69.0,43,91.43067680024268
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44,0.34474786540973645
8.0,10.0,11.0,17.0,7.0,11.0,16.0,9.0,16.0,5.0,4.0,5.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,4.0,6.0,4.0,10.0,13.0,45,9.295464034729006
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46,0.34474786540973645
0.0,2.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,1.0,47,0.8663432365137301
111.0,101.0,133.0,117.0,158.0,167.0,166.0,144.0,133.0,112.0,105.0,43.0,42.0,21.0,25.0,21.0,18.0,35.0,90.0,102.0,101.0,107.0,89.0,75.0,48,90.71756311190867
2.0,6.0,2.0,4.0,3.0,2.0,5.0,5.0,1.0,1.0,1.0,4.0,2.0,1.0,0.0,0.0,1.0,0.0,4.0,5.0,9.0,7.0,4.0,6.0,49,3.7558630011720653
46.0,37.0,31.0,36.0,38.0,31.0,35.0,17.0,13.0,21.0,8.0,8.0,6.0,1.0,0.0,1.0,4.0,9.0,8.0,29.0,42.0,35.0,51.0,38.0,50,41.08608194305135
1.0,4.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,7.0,0.0,5.0,2.0,1.0,3.0,51,2.236630008052684
3.0,2.0,0.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,5.0,4.0,2.0,3.0,52,1.799566898999864
1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,53,0.4778909127943904
0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,1.0,0.0,54,0.41779396674526237
2.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,1.0,0.0,1.0,55,0.9430467665248529
1.0,1.0,2.0,3.0,1.0,0.0,2.0,1.0,5.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,1.0,0.0,0.0,1.0,56,0.7670750917810637
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57,0.34474786540973645
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,58,0.34474786540973645
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59,0.34474786540973645
2.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,60,0.9430467665248529
19.0,15.0,14.0,9.0,10.0,11.0,4.0,10.0,3.0,2.0,9.0,9.0,2.0,1.0,3.0,0.0,4.0,5.0,10.0,15.0,24.0,10.0,9.0,6.0,61,9.6943090681356
4.0,0.0,2.0,5.0,3.0,2.0,3.0,6.0,3.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,4.0,5.0,7.0,4.0,3.0,1.0,62,0.9615805057808123
1.0,0.0,2.0,3.0,1.0,0.0,3.0,1.0,2.0,2.0,4.0,2.0,2.0,0.0,0.0,0.0,2.0,1.0,5.0,4.0,2.0,3.0,0.0,1.0,63,0.7054615712995546
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64,0.40636138589124565
10.0,12.0,5.0,7.0,5.0,10.0,7.0,3.0,3.0,2.0,9.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,6.0,4.0,7.0,4.0,4.0,65,6.579476891785543
2.0,4.0,6.0,6.0,15.0,9.0,8.0,6.0,3.0,4.0,12.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0,5.0,6.0,2.0,4.0,66,2.9518349372727615
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,1.0,0.0,0.0,1.0,67,0.4739030902483248
154.0,144.0,181.0,173.0,227.0,183.0,202.0,182.0,151.0,148.0,84.0,53.0,41.0,14.0,14.0,13.0,12.0,8.0,27.0,47.0,110.0,109.0,99.0,117.0,68,135.86539352075653
0.0,1.0,3.0,4.0,2.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,3.0,2.0,1.0,3.0,69,1.7331957643333566
26.0,20.0,22.0,55.0,11.0,29.0,18.0,20.0,27.0,43.0,47.0,27.0,17.0,3.0,0.0,2.0,1.0,1.0,6.0,9.0,9.0,31.0,22.0,18.0,70,22.088849673495453
3.0,2.0,1.0,3.0,1.0,0.0,3.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,7.0,6.0,7.0,6.0,4.0,5.0,71,2.94742525884619
3.0,3.0,7.0,9.0,2.0,3.0,2.0,2.0,0.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0,2.0,6.0,4.0,13.0,13.0,4.0,4.0,3.0,72,2.2471115872364846
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73,0.34474786540973645
30.0,27.0,31.0,24.0,25.0,15.0,27.0,19.0,13.0,13.0,11.0,6.0,6.0,2.0,1.0,1.0,5.0,7.0,17.0,28.0,26.0,24.0,15.0,7.0,74,16.349698577069116
50.0,48.0,41.0,45.0,29.0,34.0,30.0,25.0,14.0,12.0,11.0,13.0,2.0,1.0,2.0,4.0,3.0,9.0,30.0,49.0,50.0,36.0,42.0,38.0,75,41.08608194305135
8.0,4.0,6.0,5.0,3.0,5.0,6.0,6.0,4.0,3.0,5.0,12.0,4.0,3.0,7.0,4.0,3.0,5.0,14.0,16.0,13.0,12.0,7.0,6.0,76,4.114429788590584
2.0,4.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,6.0,5.0,3.0,0.0,0.0,77,1.0786540622944725
0.0,1.0,2.0,3.0,3.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,4.0,1.0,0.0,78,0.6508690222288736
88.0,99.0,113.0,137.0,123.0,101.0,111.0,115.0,119.0,98.0,88.0,47.0,31.0,15.0,14.0,13.0,19.0,7.0,35.0,62.0,92.0,76.0,56.0,47.0,79,68.405404286479
3.0,5.0,2.0,2.0,3.0,0.0,9.0,7.0,5.0,0.0,4.0,7.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,4.0,7.0,5.0,0.0,2.0,80,1.567439488158641
1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,2.0,1.0,1.0,0.0,81,0.5428822597189338
2.0,0.0,2.0,4.0,6.0,8.0,3.0,6.0,7.0,8.0,3.0,10.0,5.0,1.0,0.0,1.0,3.0,0.0,4.0,2.0,1.0,1.0,2.0,1.0,82,0.9615805057808123
3.0,0.0,2.0,1.0,5.0,0.0,4.0,3.0,1.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,83,0.6801734322203212
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84,0.34474786540973645
1.0,0.0,7.0,0.0,2.0,2.0,2.0,4.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,3.0,7.0,6.0,5.0,1.0,3.0,0.0,85,1.051367284610173
1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,1.0,86,0.7478654055008649
